Year,Quantity,Animal
2000,"24,448,000",MeatCattle
2001,"24,504,400",MeatCattle
2002,"24,738,700",MeatCattle
2003,"23,615,100",MeatCattle
2004,"24,410,200",MeatCattle
2005,"24,725,300",MeatCattle
2006,"25,605,500",MeatCattle
2007,"25,373,200",MeatCattle
2008,"24,784,100",MeatCattle
2009,"25,294,500",MeatCattle
2010,"24,007,700",MeatCattle
2011,"25,936,200",MeatCattle
2012,"25,685,232",MeatCattle
2013,"26,456,905",MeatCattle
2014,"26,295,780",MeatCattle
2015,"24,602,276",MeatCattle
2016,"22,306,275",MeatCattle
2017,"23,569,770",MeatCattle
2018,"23,768,381",MeatCattle
2019,"22,382,088",MeatCattle
2020,"21,141,836",MeatCattle
2021,"22,048,333",MeatCattle
2022,"22,250,391",MeatCattle
2000,"3,140,000",DairyCattle
2001,"3,217,300",DairyCattle
2002,"3,131,300",DairyCattle
2003,"3,049,000",DairyCattle
2004,"3,054,600",DairyCattle
2005,"3,056,200",DairyCattle
2006,"2,787,900",DairyCattle
2007,"2,663,400",DairyCattle
2008,"2,536,900",DairyCattle
2009,"2,612,300",DairyCattle
2010,"2,542,400",DairyCattle
2011,"2,570,000",DairyCattle
2012,"2,733,190",DairyCattle
2013,"2,833,865",DairyCattle
2014,"2,807,174",DairyCattle
2015,"2,810,595",DairyCattle
2016,"2,665,074",DairyCattle
2017,"2,605,750",DairyCattle
2018,"2,627,353",DairyCattle
2019,"2,341,370",DairyCattle
2020,"2,361,402",DairyCattle
2021,"2,382,840",DairyCattle
2022,"2,148,435",DairyCattle
2000,"2,510,900",Pigs
2001,"2,748,000",Pigs
2002,"2,940,400",Pigs
2003,"2,658,300",Pigs
2004,"2,547,800",Pigs
2005,"2,537,900",Pigs
2006,"2,733,000",Pigs
2007,"2,604,700",Pigs
2008,"2,411,500",Pigs
2009,"2,301,700",Pigs
2010,"2,289,300",Pigs
2011,"2,285,200",Pigs
2012,"2,137,921",Pigs
2013,"2,098,147",Pigs
2014,"2,308,218",Pigs
2015,"2,272,164",Pigs
2016,"2,294,245",Pigs
2017,"2,485,699",Pigs
2018,"2,534,030",Pigs
2019,"2,319,033",Pigs
2020,"2,258,046",Pigs
2021,"2,577,597",Pigs
2022,,Pigs
2000,"2,510,900",SheepAndLambs
2001,"2,748,000",SheepAndLambs
2002,"2,940,400",SheepAndLambs
2003,"2,658,300",SheepAndLambs
2004,"2,547,800",SheepAndLambs
2005,"2,537,900",SheepAndLambs
2006,"2,733,000",SheepAndLambs
2007,"2,604,700",SheepAndLambs
2008,"2,411,500",SheepAndLambs
2009,"2,301,700",SheepAndLambs
2010,"2,289,300",SheepAndLambs
2011,"2,285,200",SheepAndLambs
2012,"2,137,921",SheepAndLambs
2013,"2,098,147",SheepAndLambs
2014,"2,308,218",SheepAndLambs
2015,"2,272,164",SheepAndLambs
2016,"2,294,245",SheepAndLambs
2017,"2,485,699",SheepAndLambs
2018,"2,534,030",SheepAndLambs
2019,"2,319,033",SheepAndLambs
2020,"2,258,046",SheepAndLambs
2021,"2,577,597",SheepAndLambs
2022,,SheepAndLambs
